name,location__city,location__coordinates,categories__001,bio__summary,bio__birthdate,bio__deathdate
Proof,Detroit,"-82.986971, 42.443729",rapper,"eShaun Dupree Holton (October 2, 1973 – April 11, 2006), better known by his stage name Proof, was an American rapper and actor from Detroit, Michigan. He was a member of the groups D12. He was a close childhood friend of rapper Eminem. In 2006, Proof was shot and killed during an altercation at the CCC nightclub in Detroit.",10/2/73,4/11/06
Vic Mensa,Chicago,"-87.592528, 41.799292",rapper,"Victor Kwesi Mensah[3] (born June 6, 1993), better known by his stage name Vic Mensa, is a Grammy-nominated American rapper from Chicago, Illinois. He is currently signed to Roc Nation and was a member of the group Kids These Days.",6/6/93,null
Bones,Howell,"-83.932985, 42.606339",rapper,"Elmo Kennedy O'Connor, known professionally as Bones, is an American rapper. He's a native of Muir, California, but grow up in Howell, Michigan. He is notable for the frenetic pace at which he releases new music, including over 40 mixtapes.\r\n",null,null
OJ Da Juiceman,Atlanta,"-84.327938, 33.715384",rapper,"Otis Williams, Jr. (born November 23, 1981), better known by his stage name OJ Da Juiceman, is an American rapper, actor and songwriter. OJ da Juiceman is founder of vanity label 32 Entertainment.",11/23/81,null
Rich Homie Quan,Atlanta,"-84.3258, 33.7053",rapper,"Dequantes Devontay Lamar (born October 4, 1989) better known by his stage name Rich Homie Quan, is an American hip hop recording artist from Atlanta, Georgia.",10/4/89,null
Riff Raff,Houston,"-95.677290, 29.880280",rapper,"Horst Christian Simco (born January 29, 1982), better known by the stage name Riff Raff, is an American rapper from Houston, Texas.",1/29/82,null
Waka Flocka Flame,Atlanta,"-84.413303, 33.562576",rapper,"Juaquin James Malphurs (born May 31, 1986), better known as Waka Flocka Flame or simply Waka Flocka, is an American rapper from Riverdale, Georgia.",5/31/86,null
Necro,Brooklyn,"-73.919377, 40.636075",rapper,"Ron Braunstein (born June 7, 1976), better known by his stage-name Necro, is an American rapper from Brooklyn. He is the owner of Psycho+Logical-Records founded November, 1999.",6/7/76,null
Jedi Mind Tricks,Philadelphia,"-75.293330, 39.930133",group,"Jedi Mind Tricks (JMT) is an underground hip hop duo from Philadelphia, Pennsylvania, founded by two high school friends, rapper Vinnie Paz (Vincenzo Luvineri) and producer Stoupe the Enemy of Mankind (Kevin Baldwin). ",null,null
Chino XL,New York,"-73.914407, 40.832285",rapper,"Derek Keith Barbosa (born April 8, 1974), better known by his stage name Chino XL, is an American rapper and actor, known for his ""technically"" accomplished style.",4/8/74,null
Kool Moe Dee,New York,"-73.955721, 40.811703",rapper,"Mohandas Dewese (born August 8, 1962), better known by his stage name Kool Moe Dee, is an American hip hop MC prominent in the late 1970s through the early 1990s. He was one of the first rappers to earn a Grammy Award and was the first rapper to perform at the Grammys.",8/8/62,null
Kris Kross,Atlanta,"-84.387607, 33.757016",group,"Kris Kross was an American hip hop duo formed in the early 1990s and consisting of Chris ""Mac Daddy"" Kelly and Chris ""Daddy Mac"" Smith. The duo hit worldwide status with their 1992 smash hit, ""Jump"".",null,null
Kool G Rap,Queens,"-73.860869, 40.736308",rapper,"Nathaniel Thomas Wilson (born July 20, 1968), better known by his stage name Kool G Rap, is an American rapper from LeFrak City, Queens. He began his career in the mid-1980s as one half of the group Kool G Rap & DJ Polo and as a member of the Juice Crew.",7/20/68,null
Masta Ace,Brooklyn,"-73.914589, 40.658914",rapper,"Duval Clear (born December 4, 1966), known better by his stage name Masta Ace, is an American rapper and record producer from Brownsville, Brooklyn.",12/4/66,null
 Naughty by Nature,East Orange,"-74.213997, 40.757701",group,"Naughty by Nature is a Grammy Award-winning American hip hop trio from East Orange, New Jersey consisting of Treach (Anthony Criss, born December 2, 1970), Vin Rock (Vincent Brown, born September 17, 1970), and DJ Kay Gee (born Keir Lamont Gist, September 15, 1969).",null,null
"Royce da 5'9""",Detroit,"-83.180213, 42.464894",rapper,"Ryan Daniel Montgomery (born July 5, 1977), better known by his stage name Royce da 5′9″, is an American rapper from Detroit, Michigan. He is best known for his longtime association with Eminem as well as his solo career.",7/5/77,null
Sniper,Deuil-la-Barre,"2.325747, 48.970734",group,"Sniper is a French hip hop band from the Val-d'Oise department consisting of Tunisiano (Bachir Baccour) and Aketo (Ryad Selmi). Blacko, also known as Afrikaf (Karl Appela), was a member of the group until his departure in July 2007.",null,null
Starflam,Liege,"5.554746, 50.610088",group,"Starflam is a Belgian hip hop group from Liège, Belgium. The group members are DJ Mig One, Fred'alabas, Seg and Balo,  Akro and Mista R.",null,null
Veence Hanao,Bruxelles,"4.411452, 50.836837",producer / dj,"Veence Hanao is a rapper/singer, producer, songwriter from Bruxelles, Belgium. ",null,null
Graig David, Southampton,"-1.3995, 50.9005",rapper,"Craig Ashley David (born 5 May 1981) is a British singer, songwriter, rapper and singer who rose to fame in 1999, featuring on the single, ""Re-Rewind"" by Artful Dodger.",5/5/81,null
Big Pun,New York,"-73.922010, 40.823268",rapper,"Christopher Lee Rios[1] (November 10, 1971 – February 7, 2000), known has Big Pun (short for Big Punisher), was an American rapper from The Bronx, New York City, he was the first Latino rapper to have an album certified platinum as a solo act.",11/10/71,2/7/00
Kurupt,Los Angeles,"-118.339833, 33.897352",rapper,"Ricardo Emmanuel Brown (born November 23, 1972), better known by his stage name Kurupt, is an American rapper, actor and former Executive Vice President of Death Row Records.",11/23/72,null
Foxy Brown,New York,"-73.977063, 40.672404",rapper,"Inga DeCarlo Fung Marchand (born September 6, 1978), better known by her stage name Foxy Brown, is an American rapper, model, and actress.",9/6/78,null
Blackalicious,Sacramento,"-121.535965, 38.504414",group,"Blackalicious is an American hip-hop duo from Sacramento, California, made up of rapper Gift of Gab and DJ/producer Chief Xcel. They are noted for Gift of Gab's often tongue-twisting, multisyllabic, rhymes and Chief Xcel's deemed ""classic"" beats.",null,null
Benny B,Bruxelles,"4.329316, 50.854403",rapper,"Benny B was a hip-hop group formed by Benny B, Daddy K and Perfect. Their singles ""Vous êtes fous!"" and ""Qu'est-ce qu'on fait maintenant ?""",12/11/68,null
T-Pain,Tallahassee,"-84.295997, 30.433084",singer,"Faheem Rashad Najm (born September 30, 1985), better known by his stage name T-Pain, is an American rapper, singer, songwriter and record producer from Tallahassee, Florida.",10/30/85,null
Soulja Boy,Batesville,"-89.941856, 34.307097",rapper,"DeAndre Cortez Way (born July 28, 1990), known professionally as Soulja Boy is an American rapper. In September 2007, his debut single ""Crank That (Soulja Boy)""  initially self-published to the internet peaked at number one on the U.S. Billboard Hot 100.",7/28/90,null
Keith Murray,New York,"-73.199804, 40.785627",rapper,"Keith Murray (born September 13, 1974) is an American rapper and a member of the hip hop trio Def Squad, which includes fellow rappers Redman and Erick Sermon.",10/13/74,null
A$AP Ferg,Harlem,"-73.949062, 40.825389",rapper,"Darold D. Brown Ferguson, Jr. (born October 20, 1988), better known by his stage name A$AP Ferg, is an American rapper from Harlem, New York. Aside from his solo career, he is a member of the hip hop collective A$AP Mob.",10/20/88,null
Big L,New York,"-73.939898, 40.816705",rapper,"Lamont Coleman (May 30, 1974 – February 15, 1999), best known by his stage name Big L, was an American hip hop recording artist from Harlem New York.",5/30/74,2/15/99
Action Bronson,Queens,"-73.827754, 40.759185",rapper,"Arian Asllani (born December 2, 1983), better known by the stage name Action Bronson, is an American rapper and former chef.",12/2/83,null
Black Moon,New York,"-73.917474, 40.695718",group,"Black Moon is an American hip hop group, composed of members Buckshot, 5ft and DJ Evil Dee (of Da Beatminerz). The group was most notable for their debut album Enta da Stage, and their affiliation with the Boot Camp Clik.",null,null
Das EFX,New York,"-74.002303, 40.718310",group,"Das EFX is an American hip hop duo. It consists of Dray and Skoob. Skoob hails from Brooklyn, New York City while Dray hails from Teaneck, New Jersey, but the two met at Virginia State University.",null,null
8Ball & MJG,Memphis,"-89.976586, 35.106329",group,"8Ball & MJG is an American hip hop duo from Orange Mound, Memphis, Tennessee. The two rappers met at Ridgeway Middle School (Memphis, Tennessee) in 1984.",null,null
The-Dream,Atlanta,"-84.396917, 33.765124",singer,"Terius Youngdell Nash (born September 20, 1977), better known by his stage name The-Dream, is an American Rapper singer, songwriter and record producer.",9/20/77,null
Timbaland,Norfolk,"-76.289912, 36.862086",producer / dj,"Timothy Zachery ""Tim"" Mosley (born March 10, 1972), known professionally as Timbaland, is an American record producer, singer, songwriter, rapper and DJ.",3/10/72,null
Ja Rule,Queens,"-73.764776, 40.711498",rapper,"Jeffrey Bernard Atkins (born February 29, 1976), better known by his stage name Ja Rule, is an American rapper, singer, songwriter and actor from Queens, New York.",2/29/76,null
Fat Joe,Bronx,"-73.903587, 40.824931",rapper,"Joseph Antonio Cartagena (born August 19, 1970), better known by his stage name Fat Joe, is an American rapper. He is also the CEO of Terror Squad Entertainment, and member of musical groups D.I.T.C. and Terror Squad.",8/19/70,null
Madlib,Oxnard,"-119.185590, 34.190963",producer / dj,"Otis Jackson Jr. (born October 24, 1973), known professionally as Madlib, is an American DJ, music producer, multi-instrumentalist, and rapper.",10/24/73,null
EPMD,New York,"-73.249082, 40.783719",group,"EPMD is an American hip hop group from Brentwood, New York. Form by Erick Sermon (""E"" a.k.a. E Double) and Parrish Smith (""PMD"" a.k.a. Parrish Mic Doc). ",null,null
Dej Loaf,Detroit,"-82.980146, 42.376697",rapper,"Deja Trimble (born April 8, 1991), better known by her stage name Dej Loaf (stylized as DeJ Loaf), is an American rapper, singer and songwriter from Detroit, Michigan.",4/8/91,null
Goodie Mob,Atlanta,"-84.373254, 33.745522",group,"Goodie Mob is a hip hop group based in Atlanta, Georgia that formed in 1991 and currently consists of members Cee-Lo, Khujo, T-Mo, and Big Gipp. The group is part of the Dungeon Family collective.",null,null
Danny Brown,Detroit,"-83.064470, 42.402115",rapper,"Daniel Dewan Sewell (born March 16, 1981), better known by his stage name Danny Brown, is an American hip hop recording artist from Detroit, Michigan.",3/16/81,null
Démocrates D,Montfermeil,"2.558682, 48.903308",group,Démocrates D is a French hardcore Hip Hop group from Montfermeil.,null,null
Ed O.G.,Boston,"-71.091491, 42.316504",rapper,"Edward Anderson (born November 27, 1970) is a hip-hop artist from Boston, Massachusetts, United States, better known by his stage names Ed O.G. and Edo G.",11/27/70,null
Will Smith,Philadelphia,"-75.2456616, 39.995682",rapper,"Willard Carroll ""Will"" Smith Jr. (born September 25, 1968) is an American actor, producer, rapper, and songwriter from Philadelphia.",9/25/68,null
Dj Jazzy Jeff,Philadelphia,"-75.227540, 39.972850",producer / dj,"Jeffrey Allen Townes (born January 22, 1965), also known as DJ Jazzy Jeff or simply Jazz, is an American hip hop and R&B disc jockey, record producer, turntablist and actor who is best known for his early career with Will Smith as DJ Jazzy Jeff & The Fresh Prince.",1/22/65,null
C Murder,New Orleans,"-90.092356, 29.950324",rapper,"Corey Miller, better known by his stage name, C-Murder, is an American rapper, songwriter and actor. C-Murder is the brother of both Master P and Silkk the Shocker. ",3/9/71,null
Master P,New Orleans,"-90.092222, 29.950556",rapper,"Percy Robert Miller, known by his stage name Master P or his business name P. Miller, is an American rapper, businessman, filmmaker, and former basketball player. He is the founder of the record label No Limit Records.",null,null
Skinny Pimp,Memphis,"-90.0280662, 35.1466236",rapper,Derrick Dewayne Hill (know has Skinny Pimp or Kingpin Skinny Pimp) is an american rapper from Memphis.,null,null
The Pharcyde,Los Angeles,"-118.274323, 33.966125",group,"The Pharcyde (/ˈfɑːrsaɪd/) is an American alternative hip hop group, formed in 1989, from South Central Los Angeles. The original four members of the group are Imani, Slimkid3, Bootie Brown, and Fatlip. DJ Mark Luv was the group's first DJ, followed by producer J-Swift and then J Dilla.",null,null
Guru,Boston,"-71.090405, 42.314443",rapper,"Keith Edward Elam (July 17, 1961 – April 19, 2010), better known by his stage name Guru, was an American rapper best known as a member of the hip-hop duo Gang Starr, along with DJ Premier.",7/17/61,4/19/10
Rob Quest,Houston,"-95.416531, 29.794945",producer / dj,"Robert McQueen better know has Rob Quest is an american rapper & producder from Houston, Texas. He was a member of the group Odd Squad with Devin The Dude & Jugg Mugg.",null,null
Devin the Dude,Houston,"-95.406208, 29.761053",rapper,"Devin Copeland (born June 4, 1970), better known by his stage name Devin the Dude, is an American hip hop recording artist from Houston, Texas. He is perhaps best known for his unique rapping style, his long career signed to Rap-A-Lot Records.",6/4/70,null
DJ Screw,Houston,"-95.2925514, 29.6897814",producer / dj,"Robert Earl Davis, Jr. (July 20, 1971 – November 16, 2000), better known by his stage name DJ Screw, was an American hip hop DJ based in Houston, Texas. He was known has the creator of the now-famous chopped and screwed DJ technique.",7/20/71,11/16/00
Slim Thug,Houston,"-95.301123, 29.860766",rapper,"Stayve Jerome Thomas (born September 8, 1980), better known as Slim Thug, is an American rapper from Houston (Texas).",9/8/80,null
Puff Daddy,New York,"-73.842981, 40.898543",rapper,"Sean John Combs (born November 4, 1969), also known by his stage names Puff Daddy, P. Diddy and Diddy, is an American rapper, singer, songwriter, actor, record producer and entrepreneur. He was born in Harlem and was raised in Mount Vernon, New York.",11/4/69,null
The Roots,Philadelphia,"-75.166016, 39.939281",group,"The Roots is an American hip hop group, formed in 1987 by Tariq ""Black Thought"" Trotter and Ahmir ""Questlove"" Thompson in Philadelphia, Pennsylvania, United States.",null,null
Mannie Fresh,New Orleans,"-90.118300, 29.949158",producer / dj,"Byron O. Thomas, professionally known by his stage name Mannie Fresh is an American rapper, record producer and DJ who is best known for his work with Cash Money Records from 1993 to 2005 and one half of the hip hop duo Big Tymers.",3/20/69,null
Mystikal,New Orleans,"-90.094404, 29.929525",rapper,"Michael Lawrence Tyler (born September 22, 1970), better known by his stage name Mystikal, is an American rapper and actor from New Orleans.",9/22/70,null
Juvenile,New Orleans,"-90.092142, 29.940431",rapper,"Terius Gray (born March 25, 1975), better known by his stage name Juvenile, is an American rapper, and songwriter from New Orleans. He is also a member of the hip hop group The Hot Boys.",3/25/75,null
Soulja Slim,New Orleans,"-90.093660, 29.938657",rapper,"James Adarryl Tapp, Jr. (September 9, 1977 – November 26, 2003), better known by his stage name Soulja Slim (previously Magnolia Slim), was an American rapper and songwriter from New Orleans. He  was shot by an unknow gunman on Thanksgiving Eve in the front row of his mother home.",9/9/77,11/26/03
2 Live Crew,Miami,"-80.198741, 25.769890",group,"The 2 Live Crew was an American hip-hop group from Miami, Florida. They caused considerable controversy with the sexual themes in their work, particularly on their 1989 album As Nasty As They Wanna Be.",null,null
Krizz Kaliko,Kansas City,"-94.573007, 39.047870",rapper,"Samuel William Christopher Watson IV (born March 7, 1974) better known by his stage name Krizz Kaliko, is an American rapper, singer, and songwriter. He is a longtime collaborator with fellow hometown native, Tech N9ne.",3/7/74,null
Young Buck,Nashville,"-86.829136, 36.139026",rapper,"David Darnell Brown (born March 15, 1981), best known by his stage name Young Buck, is an American rapper. Buck is a former member of the hip hop group UTP Playas. ",3/15/81,null
Aaliyah,Detroit,"-83.138337, 42.417139",singer,"Aaliyah Dana Haughton (January 16, 1979 – August 25, 2001) was an American singer, dancer, actress, and model from Detroit, Michigan. On August 25, 2001, Aaliyah and eight others were killed in a plane crash in the Bahamas.",1/16/79,8/25/01
R. Kelly,Chicago,"-87.613577, 41.824374",singer,"Robert Sylvester Kelly (born January 8, 1967), known professionally as R. Kelly, is an American singer, songwriter, record producer, native of Chicago, Illinois, Kelly began performing during the late 1980s and debuted in 1992 with the group Public Announcement.",1/8/67,null
Jeremih,Chicago,"-87.664040, 41.691289",rapper,"Jeremy Felton (born July 17, 1987), better known by the stage name Jeremih, is an American singer, songwriter, rapper and record producer from Chicago, Illinois.",7/17/87,null
Twista,North Lawndale,"-87.729848, 41.862441",rapper,"Carl Terrell Mitchell (born November 27, 1973), better known by his stage name Twista, is an American rapper from Chicago, Illinois. He is best known for his chopper and ultra fast style of rapping.",11/27/73,null
 Tech N9ne,Kansas City,"-94.593968, 39.010342",rapper,"Aaron Dontez Yates (born November 8, 1971), better known as Tech N9ne, is an American rapper. ",11/8/71,null
MF Doom,Long Island,"-73.666440, 40.587275",rapper,"Daniel Dumile (born 9 January 1971) is an English hip hop recording artist. Best known for his ""super villain"" stage persona, Dumile has taken on several stage names in his career, most notably as MF Doom.",1/9/71,null
Talib Kweli,Brooklyn,"-73.980175, 40.669413",rapper,"Talib Kweli Greene (born October 3, 1975) is an American hip hop recording artist, entrepreneur, and social activist.",10/3/75,null
Common,Chicago,"-87.579722, 41.728333",rapper,"Lonnie Rashid Lynn, Jr. (born March 13, 1972), better known by his stage name Common, is an American rapper, actor, film producer and poet from Chicago, Illinois.",3/13/72,null
Mos Def,New York,"-73.919145, 40.696951",rapper,"Yasiin Bey (born Dante Terrell Smith; December 11, 1973), best known by his stage name Mos Def, is an American hip hop recording artist from Brooklyn, New York City, ",12/11/73,null
Schoolly D,Philadelphia,"-75.190140, 39.961526",rapper,"Jesse Bonds Weaver, Jr. (born June 22, 1962), better known by the stage name Schoolly D, is an American rapper from Philadelphia, Pennsylvania.",null,null
Big Boi,Atlanta,"-84.435040, 33.684089",rapper,"Antwan André Patton (born 1/02/1975), better known by his stage name Big Boi, is an American rapper, songwriter, best known for being a member of American hip hop duo Outkast alongside André 3000.",2/1/75,null
André 3000,Atlanta,"-84.428549, 33.674025",rapper,"André Lauren Benjamin (born May 27, 1975), better known by his stage name André 3000, is an American rapper, singer, songwriter, best known for being part of hip hop duo Outkast alongside fellow rapper Big Boi.",5/27/75,null
Geto Boys,Houston,"-95.327122, 29.776394",group,"Geto Boys (originally spelled Ghetto Boys) is a rap group from Fifth Ward, Houston, Texas, currently consisting of Willie D and Bushwick Bill.",null,null
Beyoncé,Houston,"-95.360741, 29.735598",singer,"Beyoncé Giselle Knowles-Carter (born September 4, 1981) is an American singer, songwriter and actress. Born and raised in Houston, Texas.",9/4/81,null
Cypress Hill,Los Angeles,"-118.204613, 33.943882",group,"Cypress Hill is an American hip hop group from South Gate, California. Cypress Hill was the first Latino American hip hop recording group to have platinum and multi-platinum albums.",null,null
Fetty Wap,Paterson,"-74.158708, 40.914216",rapper,"Willie Maxwell II (born June 7, 1991), better known by his stage name Fetty Wap, is an American rapper. He rose to prominence with his single ""Trap Queen"".",6/7/91,null
Ty Dolla $ign,Los Angeles,"-118.341255, 34.006194",rapper,"Tyrone William Griffin Jr. (born April 13, 1985), known professionally as Ty Dolla Sign (stylized as Ty Dolla $ign or Ty$), is an American singer, rapper.",4/13/85,null
Kevin Gates,Baton Rouge,"-91.177447, 30.423687",rapper,"Kevin Jerome Gilyard (born February 5, 1986), better known by his stage name Kevin Gates, is an American rapper, singer, and entrepreneur from Baton Rouge, Louisiana.",2/5/86,null
French Montana,New York,"-73.894078, 40.846988",rapper,"Karim Kharbouch (born November 9, 1984), better known by his stage name French Montana, is an American hip hop recording artist. Born in Morocco, he immigrated to the United States with his family when he was 13 years old.",11/9/84,null
Mac Miller,Pittsburgh,"-79.9441933, 40.451551",rapper,"Malcolm James McCormick (January 19, 1992 - September 7, 2018), best known by his stage name Mac Miller, is an American rapper.",1/19/92,10/7/18
Big Sean,Detroit,"-82.9975, 42.3645",rapper,"Sean Michael Leonard Anderson (born March 25, 1988), known professionally as Big Sean, is an American rapper from Detroit, Michigan.",3/25/88,null
J. Cole,Fayetteville,"-78.945374, 35.049020",rapper,"Jermaine Lamarr Cole (born January 28, 1985), better known by his stage name J. Cole, is an American hip hop recording artist and record producer. Raised in Fayetteville, North Carolina.",1/28/85,null
Wiz Khalifa,Pittsburgh,"-79.9013383, 40.3875316",rapper,"Cameron Jibril Thomaz (born September 8, 1987), better known by his stage name Wiz Khalifa, is an American rapper, songwriter, and actor.",9/8/87,null
Wale,Montgomery County,"-77.200000, 39.140000",rapper,"Olubowale Victor Akintimehin (born September 21, 1984), better known by his stage name Wale, is an American rapper from Washington, D.C.",9/21/84,null
Curren$y,New Orleans,"-89.9853088, 30.0220037",rapper,"Shante Scott Franklin (born April 4, 1981), better known by his stage name Curren$y is an American rapper from New Orleans, Louisiana. He was one of the original members of Young Money Entertainment, a label founded by Lil Wayne.",4/4/81,null
Kid Cudi,Cleveland,"-81.551667, 41.476389",rapper,"Scott Ramon Seguro Mescudi (born January 30, 1984), better known by his stage name Kid Cudi, is an American recording artist and actor from Cleveland, Ohio.",1/30/84,null
Lupe Fiasco,Chicago,"-87.643400, 41.618100",rapper,"asalu Muhammad Jaco (born February 16, 1982), better known by his stage name Lupe Fiasco, is an American rapper, record producer, and entrepreneur. He rose to fame in 2006 following the success of his debut album, Lupe Fiasco's Food & Liquor. ",2/16/82,null
Alonzo,Marseille,"5.366829, 43.300699",rapper,"Kassim Djae, better known by his stage name Alonzo, is a French rapper and singer of Comorian descent, member of the rap band Psy 4 de la Rime.",7/25/82,null
Psy 4 de la rime,Marseille,"5.3533533, 43.3686717",group,"Psy 4 de la Rime are a French hip hop group formed 1992 in Marseille composed of  Alonzo, Vincenzo, Soprano and DJ Sya Styles.",null,null
Don Choa,Marseille,"5.380504, 43.314352",rapper,"François Dilhan, better know has Don Choa,(born 1st augustus 1974) is a French rapper member of the group Fonky Family.",8/1/74,null
Fonky Family,Marseille,"5.3456365, 43.3469594",group,"La Fonky Family (often shortened to La Fonky, or La FF) are a French hip hop group from Marseille. They are composed of four rappers, Le Rat Luciano, Menzo, Don Choa, Sat, and two DJ, Pone DJ and Djel.",null,null
Le Rat Luciano,Marseille,"5.367778, 43.298056",rapper,"Le Rat Luciano, real name Christophe Carmona (born 9 April 1976) is a French rapper from Marseille. He got noticed as a rapper in 1994 when he was part of the group Fonky Family.",4/9/76,null
Chiens de paille,Cannes,"6.995983, 43.561406",group,Chiens de paille is a French rap Band from Cannes. Formed by Sako and Hal.,null,null
IAM,Marseille,"5.411457, 43.313878",group,"AM (pronounced as English ""I am"") is a French hip hop band from Marseille, formed in 1989, and composed of Akhenaton, Shurik'n, Khéops, Imhotep (Pascal Perez), and Kephren.",null,null
Freeman,Marseille,"5.376904, 43.299150",rapper,"Malek Brahimi, better known by his stage name Freeman, is a French rapper and breakdancer. He is a member of the hip hop group IAM together with Akhenaton, Shurik'n, Khéops, Imhotep, and Kephren.",5/9/72,null
Big K.R.I.T,Meridian,"-88.7616572, 32.3760636",producer / dj,"Justin Scott (born August 26, 1986), better known by his stage name Big K.R.I.T., is an American rapper and record producer from Meridian, Mississippi.",8/26/86,null
El-P,Brooklyn,"-73.984371, 40.690284",producer / dj,"Jaime Meline (born March 2, 1975), better known by his stage name El-P, is an American hip hop recording artist, record producer. In 2013, he formed the hip-hop duo Run the Jewels with collaborator Killer Mike.",3/2/75,null
A$AP Rocky,New York,"-73.9551409, 40.8047574",rapper,"Rakim Mayers (born October 3, 1988), better known by his stage name ASAP Rocky (stylized as A$AP Rocky), is an American rapper from the Harlem, New York. He is a member of the hip hop group A$AP Mob, from which he adopted his moniker.",10/3/88,null
Migos,Lawrenceville,"-83.989804, 33.949977",group,"Migos is an American hip hop group from Lawrenceville, Georgia,  formed in 2009. The group consists of three members, known by their stage names Quavo, Takeoff, and Offset.",null,null
Lil Uzi vert,Philadelphia,"-75.166634, 39.970022",rapper,"ymere Woods (born July 31, 1994), better known by his stage name Lil Uzi Vert, is an American rapper and songwriter.",7/31/94,null
Scred Connexion,Paris,"2.349508, 48.887577",group,"Scred Connexion is a French rap collective launched in the 1990s composed by Fabe, Koma, Haroun, Mokless and Morad, with the assistance of Butch.",null,null
La Rumeur,Élancourt,"1.953664, 48.769440",group,"La Rumeur is a French-language rap group from Élancourt (Yvelines, France). The group is composed of four rappers, Ekoué, Hamé, Mourad, and Philippe, and two DJs, Kool M and Soul G.",null,null
CNN199,Bruxelles,"4.377086, 50.864410",group,CNN199 Is a Belgian rap band from Bruxelles.,null,null
John Cruipy,Bruxelles,"4.347943, 50.878883",rapper,John Cruipy is a Belgian rapper from Bruxelles.,null,null
MHD,Paris,"2.372835, 48.877353",rapper,"Mohamed Sylla (born 28 November 1994), better known by his stage name MHD is a French rapper from the 19th arrondissement of Paris. His music is the precursor of ""Afro Trap"", a mixture of African music and Trap music.",11/28/94,null
PNL,Corbeil-Essonnes,"2.465612, 48.613633",group,"PNL (Peace N' Lovés, translated Peace and money) is an independent French rap group formed in 2014 by two brothers, Ademo and N.O.S from Corbeil-Essonnes.",null,null
SCH,Aubagne,"5.561181, 43.289909",rapper,"Julien Schwarzer (born 6 April 1993 in Marseille), better known by his stage name SCH is a French rapper from Aubagne.",4/6/93,null
Médine,Le Havre,"0.115902, 49.501545",rapper,"Medine Zaouiche (born 24 February 1983 in Le Havre), better known by his stage name Médine, is a French-Algerian Kabyle rapper.",2/24/83,null
Soprano,Marseille,"5.422224, 43.338434",rapper,"Saïd M'Roumbaba (born 14 January 1979 in Marseille, France), better known by his stage name Soprano, is a French rapper of Comorian descent.",1/14/79,null
La Fouine,Trappes,"1.986330, 48.776816",rapper,"Laouni Mouhid (born December 25, 1981 in Trappes, Yvelines), commonly known by his stage name La Fouine or Fouiny Baby, is a French rapper.",12/25/81,null
Rim'K,Vitry-sur-Seine,"2.394227, 48.786546",rapper,"Abdelkrim Brahmi a.k.a. Rim'K (born 21 June 1978 in Paris, France) is a French rapper of Algerian descent. Rim'K was raised in the Parisian suburb of Vitry-sur-Seine.",6/21/78,null
Kery James,Orly,"2.402475, 48.745477",rapper,"Alix Mathurin (born 28 December 1977) better known as Kery James, is a French rapper from Orly.",12/28/77,null
Nekfeu,Paris,"2.293215, 48.842815",rapper,"Ken Samaras (born 3 April 1990), better known by his stage name Nekfeu, is a French rapper and record producer who is also a member of the collective L'entourage, and the rap group 1995.",4/3/90,null
Jul,Marseille,"5.409637, 43.303939",producer / dj,"Julien Marie (born in Marseille, on 14 January 1990), better known as Jul (stylized as JuL), is a French independent hip hop artist.",1/14/90,null
Rohff,Vitry-sur-Seine,"2.389360, 48.791011",rapper,"Housni Mkouboi better known as Rohff at times stylized as Roh2f (born in Antananarivo, Madagascar on 15 December 1977) is a French rapper.",12/15/77,null
Dosseh,Orlean,"1.868374, 47.903533",rapper,"Dosseh Dorian N'Goumou know as Dosseh, born the 26/01/1985 in Orléans, is a french rapper. ",1/26/85,null
Lethal Bizzle,London,"-0.020046, 51.585549",rapper,"Maxwell Ansah (born 14 September 1984), known by his stage name Lethal Bizzle, is an English rapper and actor from Walthamstow, London.",9/14/84,null
Dizzee Rascal,East London,"-0.037101, 51.530437",producer / dj,"Dylan Kwabena Mills (born 18 September 1984), better known by his stage name Dizzee Rascal, is an English hip hop recording artist and record producer.",9/18/84,null
Roll Deep,East London,"-0.031006, 51.520816",group,"Roll Deep (formerly Roll Deep Entourage) are an English grime crew. They were founded in 2002 by Wiley following the disbandment of UK garage crew, Pay As U Go Cartel.",null,null
Wiley,East London,"-0.027722, 51.525414",producer / dj,"Richard Kylea Cowie (born 19 January 1979), better known by his stage name Wiley, is an English rapper, record producer and DJ with Caribbean roots from Bow, East London.",1/19/79,null
Scarface,Houston,"-95.367102, 29.641606",rapper,"Brad Terrence Jordan (born November 9, 1970), better known by his stage name Scarface, is an American rapper, music producer, and author. He hails from Houston, Texas and is a former member of the Geto Boys.",11/9/70,null
Vince Staples,Long Beach,"-118.153590, 33.868639",rapper,"Vincent ""Vince"" Staples (born July 2, 1993) is an American rapper from Long Beach, California. He is part of the hip hop trio Cutthroat Boyz, alongside fellow Californian rappers A$ton Matthews and Joey Fatts.",7/2/93,null
Earl Sweatshirt,Los Angeles,"-118.461713, 34.031169",producer / dj,"Thebe Neruda Kgositsile (born February 24, 1994), better known by his stage name Earl Sweatshirt, is an American hip hop recording artist, music producer, songwriter, and occasional actor from Los Angeles.",2/24/94,null
"Tyler, The Creator",Los Angeles,"-118.352780, 33.914217",producer / dj,"Tyler Gregory Okonma (born March 6, 1991), better known by his stage name Tyler, The Creator, is an American rapper, record producer, and music video director.",3/6/91,null
YG,Los Angeles,"-118.230134, 33.902517",rapper,"Keenon Daequan Ray Jackson (born March 9, 1990), better known by his stage name YG, is an American hip hop recording artist from Compton, California.",3/9/90,null
